,property_id
79,B94A004C-A320-4C1C-B2BD-02B4E7E91E0F
84,BFD3B46A-7B25-402F-9A4C-03121375B7D3
174,AE7DDEC5-4638-4AC9-B4BF-05E097F95996
178,A490E2CF-CC64-47B5-85FD-061A7603BAFC
274,8E23261F-35ED-455B-EE1D-08D806EBA268
275,C05B54EE-B7A7-4632-B684-08D807322E68
276,6E631D44-CE13-4576-7564-08D81C2BF6EA
277,F030D68F-C2F2-4A70-AD33-08D821D541C8
284,21FFF1AC-D106-47B8-D190-08D8710EFEA0
285,012C04FF-D2EE-42FE-63BC-08D878D22D69
287,B211386B-D5E9-4413-9C1D-08D883CFE0DD
290,5D482283-BA96-4C47-6911-08D88B0120EC
291,4942FA00-AE01-4921-6912-08D88B0120EC
292,8AD9C0AF-0114-4EA9-6913-08D88B0120EC
293,AA9FC5B3-F49E-4876-6914-08D88B0120EC
294,B5566509-EC4B-4F51-6915-08D88B0120EC
295,0E9C9DB5-C012-4F75-6916-08D88B0120EC
299,5377E50C-8871-4CA8-B574-08D8913A8ADE
300,82E2C18A-BB2A-481B-9900-08D8920B9EAD
306,48296065-0C49-4EFB-076F-08D8A1E2DFFF
309,838C7538-33D3-4556-0D64-08D8AB46E50F
310,1362667C-4420-4878-EB99-08D8AC03F1B1
325,44AEDCD0-F475-4315-9532-093E870EF29F
425,8BBB58DB-25CA-435A-9E76-0D1B9E267EB6
452,80C6528A-49BD-43BF-9C12-0E0D253B961B
579,A56E8149-1B37-43A5-B9E2-1222CA735322
605,29C899AD-623E-4BE0-A8BE-12F919A7CF7E
637,6718FCA6-9B76-4CBD-B5E7-13B6C8F9DC51
658,8359D6D9-38D6-42C0-89F9-142F3B700934
811,DA6F0A4B-9307-4BC7-832C-18F510E01E21
825,59C526F1-F7B9-4E70-AA55-19754B47B7CC
842,CC9E0971-8FEF-46D7-9F5C-1A499E368647
911,DBD3AEAE-8772-475C-85CF-1C9D595DEA75
1037,0AD6EAFB-9474-40B3-BF38-20F5DBFA7871
1067,5CDD035A-D774-4768-AF20-21EF1FB7B089
1131,48364AF7-4286-4EBD-B8A2-245F5E1DEFE0
1209,26C5CEA0-4A4C-444E-BF97-26D82B03FCB9
1245,DED73843-3DAD-4B3B-9768-27CBF66A58ED
1293,0A6523EF-9426-4EF9-9280-296767753626
1313,1F42ACC6-56AA-4A5B-BD44-29EF313D0A49
1337,5D4F40CB-5B53-4CFA-B7DE-2B1451F13968
1342,F5A7E8ED-B323-4014-A395-2B3C53BD1192
1403,837D4A59-2C79-4461-8C07-2E305175DBC7
1530,89AF7FE0-1C1D-41B8-AA6F-32C557EB35BD
1589,AA7433FC-44CF-4155-9D82-34FA73C5D512
1593,2F9C40B7-34FE-405C-A074-35191B083CA1
1618,1B0208E4-BC86-4B0A-B18F-3605AAD971AF
1722,713D5405-D5E0-45F1-B97E-39ACFB8EE16D
1750,94404A3A-0D00-4662-95DB-3AAC0B969315
1838,F74AD4A3-986F-480D-A45F-3DB7C42060AF
1950,0EB8370B-11FC-420A-86DD-4160374C5E57
1968,59C46A51-2B13-4E58-BA01-4220DD504668
1972,6394AB14-E148-4876-8E83-426632FE6149
1997,487129FB-46ED-4715-8238-4376E22C69CB
2057,227B11F4-3FF0-440E-8DB0-4580908BAFCC
2214,EC41C3AF-1F6A-4E64-8FA0-4A2CEB757EEA
2223,A9EB62D3-C700-4FD5-B0B8-4A97D0E0F005
2286,F762F929-873C-456D-B166-4CC3C8F0EF2A
2439,F0F4A576-91EE-40A9-B8B6-52133E3DD97B
2482,6F72FB19-E568-4CFC-A8BB-53807DD34545
2535,5F931F54-91DD-4A57-B6D2-55D978694DDE
2558,E9C3DF3D-B354-43F0-934A-56C6244A7674
2678,5C40C8ED-3CF4-42F1-A3BF-5B103EB73DA4
2680,C23D297A-629D-4512-AFEE-5B21CFAA5FEF
2741,00A780B3-8649-4FD7-9C35-5D50A4F1B071
2799,40F34F09-78C5-435E-A267-5F5AA6A50611
2843,95FD2BB8-BAF2-43D4-A226-6091E36D613A
3048,71BBCB8D-354E-4A35-BF1E-67AC0E7426AA
3159,92BA0640-46FE-4ACB-A579-6B5A4E2098AE
3189,03BB2502-4899-411A-99AB-6C6474454553
3250,DEB317AF-8A83-44D3-96B8-6E52C3BFECA9
3274,00BBDE22-F1C5-4180-A250-6F47B550D199
3319,332694B0-4653-4518-AB84-71240EB20E56
3327,30D08AE0-8D92-4D49-8508-7161FB8AE1FE
3440,71CF1217-8401-4EBC-AD6D-74F2A63D232A
3505,472B11A6-691D-4A8F-A50E-76EF96AE404A
3592,48CC83B8-52AC-4AB3-9BCC-7A134B0889DC
3693,71B63378-F420-4FDD-9E81-7D57903866E6
3701,3595D3DF-B381-484C-BCA9-7DAB31DC850F
3729,13D89018-8B94-4863-8819-7E737FA686F6
3891,86519926-E8AC-497E-AE09-8457356F8A60
3921,CB9E916B-C929-4CD2-9E91-852D0B9B5900
3989,651E0456-437E-4A03-82B1-878A27C57308
4049,7F6471CC-42F3-46AF-B852-89E3086F69CC
4053,59576E53-422B-4419-9C64-8A0FBEEFEF4F
4124,BEF0441A-26E3-4D60-A06C-8C898372215D
4158,19179743-4A2E-49ED-B762-8D83389CE970
4171,02E45372-A7FF-4D97-BB96-8DFAF5BFC6A0
4201,DAE45DED-A119-499C-BCBB-8ED35ED5BE92
4349,1D38530D-624F-4FEF-9744-92D6FA23CFEB
4394,3303A85C-3E9A-44D6-953F-93D643A7D200
